Label	Name	CASRN
c	carbon atom	7440-44-0
c2f4	tetrafluoroethylene	116-14-3
c2h2	acetylene	74-86-2
c2h4	ethylene	74-85-1
c2h3cl	vinyl chloride	75-01-4
c2h6	ethane	74-84-0
c3h8	propane	74-98-6
cf4	carbon tetrafluoride	75-73-0
ch2o	formaldehyde	50-00-0
hcooh	formic acid	64-18-6
ch3cl	chloromethane	74-87-3
ch3f	fluoromethane	593-53-3
ch3oh	methanol	67-56-1
ch4	methane	74-82-8
chf3	fluoroform	75-46-7
ch2f2	difluoromethane	75-10-5
cl	chlorine atom	22537-15-1
cl2	dichlorine	7782-50-5
clf	chlorine fluoride	7790-89-8
co	carbon monoxide	630-08-0
co2	carbon dioxide	124-38-9
f	fluorine atom	14762-94-8
f2	difluorine	7782-41-4
f2o	oxygen difluoride	7783-41-7
h	hydrogen atom	12385-13-6
h2	dihydrogen	1333-74-0
h2o	water	7732-18-5
hcl	hydrogen chloride	7647-01-0
hcn	hydrogen cyanide	74-90-8
hf	hydrogen fluoride	7664-39-3
hno	nitroxyl	14332-28-6
hocl	hypochlorous acid	7790-92-3
hclo	HClO	71572-35-5
hof	hypofluorous acid	14034-79-8
ketene	ketene	463-51-4
n	nitrogen atom	17778-88-0
n2	dinitrogen	7727-37-9
nh3	ammonia	7664-41-7
no	nitric oxide	10102-43-9
no2	nitrogen dioxide	10102-44-0
o	oxygen atom	17778-80-2
o2	dioxygen	7782-44-7
oxirane	ethylene oxide	75-21-8
oxirene	acetylene oxide	157-18-6
p	phosphorus atom	7723-14-0
s	sulfur atom	7704-34-9
s2	disulfur	23550-45-0
si	silcon atom	7440-21-3
cyc5	cyclopentane	287-92-3
cyc3	cyclopropane	75-19-4
acetone	acetone	67-64-1
ibutane	isobutane	75-28-5
isobutene	isobutene	115-11-7
butadiene	1,3-butadiene	106-99-0
dioxolane	1,3-dioxacyclopentane	646-06-0
DME	dimethyl ether	115-10-6
et2o	diethyl ether	60-29-7
EC	ethylene carbonate	96-49-1
ch3cocooh	pyruvic acid	127-17-3
ethanol	ethanol	64-17-5
meoac	methyl acetate	79-20-9
meoacyl	methoxycarbonylethyl	54668-31-4
acoch2	acetoxymethyl	2887-49-2
THF	tetrahydrofuran	109-99-9
benzene	benzene	71-43-2
ch3cn	acetonitrile	75-05-8
sf6	sulfur hexafluoride	2551-62-4
ch3nh2	methylamine	74-89-5
butene1	1-butene	106-98-9
butene2	2-butene	107-01-7
THP	tetrahydropyran	142-68-7
acoh	acetic acid	64-19-7
pyrrole	pyrrole	109-97-7
nh2oh	hydroxylamine	7803-49-8
DMA	dimethylamine	124-40-3
mepy1	1-methylpyrrole	96-54-8
h2s	hydrogen sulfide	7783-06-4
sh	sulfhydryl	13940-21-1
ch3sh	methanethiol	74-93-1
c2f2	difluoroacetylene	689-99-6
CpH	cyclopentadiene	542-92-7
butyrolactone	butyrolactone	96-48-0
cs	carbon monosulfide	2944-05-0
mefo	methyl formate	107-31-3
hcoch2oh	hydroxyacetaldehyde	141-46-8
ch3coch2oh	hydroxyacetone	116-09-6
etfo	ethyl formate	109-94-4
MEK	2-butanone	78-93-3
c2cl2	dichloroacetylene	1605-72-7
DMSO	dimethylsulfoxide	67-68-5
DMSO2	dimethylsulfone	67-71-0
scl2	sulfur dichloride	10545-99-0
cyc4	cyclobutane	287-23-0
cyclobutene	cyclobutene	822-35-5
phcooh	benzoic acid	65-85-0
phcn	benzonitrile	100-47-0
phnc	phenyl isocyanide	931-54-4
DMF	dimethylformamide	68-12-2
NMP	N-methylpyrrolidone	872-50-4
mein2	2-methylindole	95-20-5
thiophene	thiophene	110-02-1
phno2	nitrobenzene	98-95-3
acenaphthylene	acenaphthylene	208-96-8
phcl2	1,4-diclorobenzene	106-46-7
sulfolane	sulfolane	126-33-0
so	sulfur monoxide	13827-32-2
so2	sulfur dioxide	7446-09-5
so3	sulfur trioxide	7446-11-9
h2so4	sulfuric acid	7664-93-9
h2so3	sulfurous acid	7782-99-2
ch3	methyl	2229-07-4
oh	hydroxyl	3352-57-6
c2h5	ethyl	2025-56-1
propene	propene	115-07-1
ho2	hydroperoxyl	3170-83-0
ch3cho	acetaldehyde	75-07-0
h2o2	hydrogen peroxide	7722-84-1
butane	butane	106-97-8
allene	allene	463-49-0
c2h3	vinyl	2669-89-8
ch3o	methoxyl	2143-68-2
c2h5o	ethoxyl	2154-50-9
c2h5cl	chloroethane	75-00-3
c6h5	phenyl	2396-01-2
ch2oh	hydroxymethyl	2597-43-5
toluene	toluene	108-88-3
ch	methylidyne	3315-37-5
cn	cyano radical	2074-87-5
sih4	silane	7803-62-5
ch2cch	propargyl	2932-78-7
o3	ozone	10028-15-6
s2o	disulfur monoxide	20901-21-7
cf3	trifluoromethyl	2264-21-3
phoh	phenol	108-95-2
phnh2	aniline	62-53-3
nh2	amidogen	13770-40-6
nh	imidogen	13774-92-0
cho	formyl	2597-44-6
clo	chlorine monoxide	14989-30-1
chonh2	formamide	75-12-7
ch3ooh	methyl hydroperoxide	3031-73-0
c3h5	allyl	1981-80-2
ch2nch2	2-aza-allyl	56391-78-7
ch2oo	dioxymethyl	56077-92-0
hcccn	cyanoacetylene	68010-34-4
hno3	nitric acid	7697-37-2
clcn	cyanogen chloride	506-77-4
ch3oo	methylperoxyl	2143-58-0
hnco	isocyanic acid	75-13-8
hocn	cyanic acid	420-05-3
hcno	fulminic acid	506-85-4
honc	isofulminic acid	51060-05-0
cf2o	carbonyl difluoride	353-50-4
c2h3cch	vinyl acetylene	689-97-4
ch2cl2	dichloromethane	75-09-2
hc4h	diacetylene	460-12-8
phcl	chlorobenzene	108-90-7
cch	ethynyl	2122-48-7
ccf	fluoroethynyl	22533-50-2
nPr	n-propyl	2143-61-5
iPr	iso-propyl	2025-55-0
ch3co	acetyl	3170-69-2
cyc3ene	cyclopropene	2781-85-3
ch3ccch3	2-butyne	503-17-3
ch3nc	methyl isocyanide	593-75-9
chcl3	chloroform	67-66-3
cf	fluoromethylidyne	3889-75-6
sih3oh	silanol	14475-38-8
fcn	cyanogen fluoride	1495-50-7
cf3cl	chlorotrifluoromethane	75-72-9
ch2nh	methanimine	2053-29-4
nBu	n-butyl	2492-36-6
ccl2o	phosgene	75-44-5
c2h3f	fluoroethylene	75-02-5
fo	oxygen monofluoride	12061-70-0
nco	isocyanato radical	22400-26-6
ncn	cyanoimidogen	2669-76-3
c2h5f	fluoroethane	353-36-6
phf	fluorobenzene	462-06-6
ch3no2	nitromethane	75-52-5
mec4me	2,4-hexadiyne	2809-69-0
ch2nh2	aminomethyl	10507-29-6
c2h3cn	acrylonitrile	107-13-1
ch2cn	cyanomethyl	2932-82-3
c5h5	cyclopentadienyl	2143-53-5
nh2co	carbamoyl	2858-51-7
ch2nho	oxaziridine	6827-26-5
tetrahedrane	tetrahedrane	157-39-1
c2h5nh2	ethylamine	75-04-7
oclo	chlorine dioxide	10049-04-4
nccn	cyanogen	460-19-5
pentane	n-pentane	109-66-0
hexane	n-hexane	110-54-3
heptane	n-heptane	142-82-5
octane	n-octane	111-65-9
TMA	trimethylamine	75-50-3
n2o	nitrous oxide	10024-97-2
hn3	hydrazoic acid	7782-79-8
cch2	vinylidene	2143-69-3
hccf	fluoroacetylene	2713-09-9
hcco	ketenyl	51095-15-9
ccl3	trichloromethyl	3170-80-7
c2h4cl2	1,1-dichloroethane	75-34-3
ch2clch2cl	1,2-dichloroethane	107-06-2
foof	fluorine peroxide	7783-44-0
phcho	benzaldehyde	100-52-7
c2h5cho	propanal	123-38-6
ch3no	nitrosomethane	865-40-7
sih2o	silanone	22755-01-7
hoclo	chlorous acid	13898-47-0
n2h4	hydrazine	302-01-2
nh2o	aminoxyl	13408-29-2
foo	fluoroperoxyl	15499-23-7
cme4	neopentane	463-82-1
neohexane	2,2-dimethylbutane	75-83-2
proh	1-propanol	71-23-8
iproh	2-propanol	67-63-0
ch2cf2	1,1-difluoroethylene	75-38-7
chfchf	cis-1,2-difluoroethylene	1630-77-9
urea	urea	57-13-6
isourea	isourea	4744-36-9
AcNH2	acetamide	60-35-5
cyclobutadiene	cyclobutadiene	1120-53-2
hnc	hydrogen isocyanide	6914-07-4
isoprene	2-methyl-1,3-butadiene	78-79-5
clf3	chlorine trifluoride	7790-91-2
clf5	chlorine pentafluoride	13637-63-3
ch3ccl3	1,1,1-trichloroethane	71-55-6
c2cl4	tetrachloroethylene	127-18-4
TCE	trichloroethylene	79-01-6
chclf2	chlorodifluoromethane	75-45-6
c3o2	carbon suboxide	504-64-3
fco	fluoroformyl	1871-24-5
clco	chloroformyl	2602-42-8
benzyl	benzyl	2154-56-5
PhO	phenoxyl	2122-46-5
ch2ccn	1-cyanovinyl	15091-87-9
chchcn	2-cyanovinyl	189141-20-6
ch2cc2h2	3-methylenecyclopropene	4095-06-1
sihme3	trimethylsilane	993-07-7
TMS	tetramethylsilane	75-76-3
butyne1	1-butyne	107-00-6
ipentane	2-methylbutane	78-78-4
cyc6	cyclohexane	110-82-7
cyc7	cycloheptane	291-64-5
EtOMe	methoxyethane	540-67-0
AcCl	acetyl chloride	75-36-5
ch2ccl2	1,1-dichloroethylene	75-35-4
chclchcl	cis-1,2-dichloroethylene	156-59-2
cf2cl2	dichlorodifluoromethane	75-71-8
chfcl2	dichlorofluoromethane	75-43-4
cfcl3	trichlorofluoromethane	75-69-4
ch2fcl	chlorofluoromethane	593-70-4
chfo	formyl fluoride	1493-02-3
chclo	formyl chloride	2565-30-2
sih3	silyl	13765-44-1
sih2oh	hydroxysilyl	113648-09-2
Me3SiOH	trimethylsilanol	1066-40-6
iPrNH2	isopropylamine	75-31-0
PrNH2	n-propylamine	107-10-8
hcccl	chloroacetylene	593-63-5
nh2nh	hydrazinyl	13598-46-4
ch3nh	methylaminyl	15622-51-2
ch2n	methylene amidogen	15845-29-1
tBu	tert-butyl	1605-73-8
sBu	2-butyl	2348-55-2
iBu	iso-butyl	4630-45-9
cl2o	oxygen dichloride	7791-21-1
ch3nhch2	methylamino methyl	31277-24-4
hncn	cyanoaminyl	12347-01-2
ccl	chloromethylidyne	3889-76-7
ch2cloh	chloromethanol	15454-33-8
ch2clo	chloromethoxyl	114282-89-2
clchoh	chlorohydroxymethyl	147139-06-8
cloocl	chlorine peroxide	12292-23-8
clc2h4oh	2-chloroethanol	107-07-3
fc2h4oh	2-fluoroethanol	371-62-0
c7h7	tropyl	3551-27-7
acetonyl	acetonyl	3122-07-4
c2hf3	trifluoroethylene	359-11-5
ch2chnc	isocyanoethylene	14668-82-7
hoocl	chlorine hydroperoxide	67952-07-2
fulvene	fulvene	497-20-1
sio	silicon monoxide	10097-28-6
clo3	chlorine trioxide	13932-10-0
hno2	nitryl hydride	90266-90-3
ch3c	ethylidyne	67624-57-1
hoclo2	chloric acid	7790-93-4
cyclopentene	cyclopentene	142-29-0
c2h3o	vinoxyl	6912-06-7
Me2NCH2	dimethylaminomethyl	30208-47-0
c2cl6	hexachloroethane	67-72-1
cf2	difluoromethylene	2154-59-8
c2f6	hexafluoroethane	76-16-4
ch3chf2	1,1-difluoroethane	75-37-6
ch2fch2f	1,2-difluoroethane	624-72-6
PhEt	ethylbenzene	100-41-4
styrene	styrene	100-42-5
phcch	phenylacetylene	536-74-3
phcoch3	acetophenone	98-86-2
ch3ono	methyl nitrite	624-91-9
ch2cco	propadienone	61244-93-7
ch3sih3	methylsilane	992-94-9
me3sio	trimethylsiloxyl	54572-10-0
hexadiyne15	1,5-hexadiyne	628-16-0
hexadiyne24	2,4-hexadiyne	2809-69-0
hexadiyne14	1,4-hexadiyne	10420-91-4
EtNHMe	ethyl methyl amine	624-78-2
cyc3yl	cyclopropyl	2417-82-5
dioxirane	dioxirane	157-26-6
hoc2h4oh	ethylene glycol	107-21-1
c2o4h2	oxalic acid	144-62-7
chcl2	dichloromethyl	3474-12-2
ch2cl	chloromethyl	6806-86-6
ch3ocl	methyl hypochlorite	593-78-2
cycloheptene	cycloheptene	628-92-2
cyc7triene	cycloheptatriene	544-25-2
cyc7diene	1,3-cycloheptadiene	4054-38-0
phno	nitrosobenzene	586-96-9
ch2no2	nitromethyl	16787-85-2
no3	nitrogen trioxide	12033-49-7
ch3chco	methylketene	6004-44-0
mec4h	1,3-pentadiyne	4911-55-1
nh2no	nitrosamine	35576-91-1
clno	nitrosyl chloride	2696-92-6
clf2	chlorine difluoride	24801-48-7
ch3och2	methoxymethyl	16520-04-0
oxiranyl	oxiranyl	31586-84-2
meoome	dimethyl peroxide	690-02-8
ch2clchcl2	1,1,2-trichloroethane	79-00-5
ch2clccl3	1,1,1,2-tetrachloroethane	630-20-6
chcl2chcl2	1,1,2,2-tetrachloroethane	79-34-5
c2cl5	pentachloroethyl	7094-17-9
benzyne	o-benzyne	462-80-6
phcfo	benzoyl fluoride	455-32-3
phcclo	benzoyl chloride	98-88-4
phco	benzoyl 	2652-65-5
n2o5	dinitrogen pentoxide	10102-03-1
n2o4	dinitrogen tetroxide	10544-72-6
c3h2o	cyclopropenone	2961-80-0
hccch2cl	propargyl chloride	624-65-7
sio2	silicon dioxide	7631-86-9
hcnh2	aminomethylene	35430-17-2
c3h3	cyclopropenyl	28933-84-8
c2h2c	cyclopropenylidene	16165-40-5
cyc3me	methylcyclopropane	594-11-6
hclo4	perchloric acid	7601-90-3
oC6H4Cl	2-chlorophenyl	3474-42-8
mC6H4Cl	3-chlorophenyl	3474-40-6
pC6H4Cl	4-chlorophenyl	2396-00-1
sif4	tetrafluorosilane	7783-61-1
si2h6	disilane	1590-87-0
si2h4	disilene	15435-77-5
me2sio	dimethylsilanone	47956-45-6
sih2me2	dimethylsilane	1111-74-6
prismane	tetracyclic C6H6	650-42-0
phenanthrene	a,c-dibenzobenzene	85-01-8
ihexane	2-methylpentane	107-83-5
decane	n-decane	124-18-5
ch2ooh	hydroperoxymethyl	74087-87-9
c2hcl5	pentachloroethane	76-01-7
chf	fluoromethylene	13453-52-6
chcl	chloromethylene	2108-20-5
Ac2	2,3-butanedione	431-03-8
hcccho	2-propynal	624-67-9
CpMe	5-methyl-1,3-cyclopentadiene	96-38-8
disiloxane	disilyl ether	13597-73-4
me3si	trimethylsilyl	16571-41-8
fno	nitrosyl fluoride	7789-25-5
hexadiene15	1,5-hexadiene	592-42-7
chocho	glyoxal	107-22-2
co3h2	carbonic acid	463-79-6
ch2no	nitrosomethyl	2683-96-7
butanal	butyraldehyde	123-72-8
ch2cchcl	chloroallene	3223-70-9
ch3cccl	1-chloropropyne	7747-84-4
cyc5me	methylcyclopentane	96-37-7
hono	nitrous acid	7782-77-6
tBuNH2	t-butylamine	75-64-9
PhPh	biphenyl	92-52-4
cncn	isocyanogen	83951-85-3
nh2cn	cyanamide	420-04-2
cyclohexene	cyclohexene	110-83-8
anisole	methoxybenzene	100-66-3
etono	ethyl nitrite	109-95-5
prono	propyl nitrite	543-67-9
norbornadiene	bicyclo[2.2.1]hepta-2,5-diene	121-46-0
phooh	phenyl hydroperoxide	36112-26-2
sih	silylidyne	13774-94-2
nh4	ammonium radical	92075-50-8
mec5diyne	3-methyl-1,4-pentadiyne	57242-04-3
anthracene	a,d-dibenzobenzene	120-12-7
hoono	peroxynitrous acid	14691-52-2
ccf2	difluorovinylidene	41895-33-4
cccl2	dichlorovinylidene	20394-25-6
succinicA	butanedioic acid	110-15-6
onno	NO dimer	16824-89-8
cloo	cloroperoxyl	17376-09-9
cyc3trisCH2	trimethylenecyclopropane	3227-90-5
hcoh	hydroxymethylene	19710-56-6
ch2	methylene	2465-56-7
acrolein	propenal	107-02-8
acetoxyl	CH3COO	13799-69-4
c2h5cooh	propanoic acid	79-09-4
Bz2	1,2-diphenylethane	103-29-7
hoco	hydroxyformyl	2564-86-5
hco2	formate radical	16499-21-1
ccl2	dichloromethylene	1605-72-7
ch2noh	formaldoxime	75-17-2
hccn	cyanomethylene	2612-62-6
onono2	nitrosyl nitrate	15969-55-8
hccoh	ethynol	32038-79-2
hco3h	peroxyformic acid	107-32-4
