Species	Formula	EoF298	Unc	WB_ID	Squib	Method
Mg(neo-Pe)2	C10H22Mg	-74.3	7.6	B2000040	1997MAR0B	Review
Mg2(neo-Pe)4	C20H44Mg2	-291.0	16.0	B2000084	1997MAR0B	Review # The enthalpy of formation relies on -74.3±7.6 kJ/mol for the enthalpy of formation of the monomer
U(cotBu)2	C24H32U	115.0	21.0	B2000166	1997MAR0B	Review
U(OMe)6	C6H18O6U	-1819.0	23.0	B2000167	1997MAR0B	Review
U(Cp)3(i-Bu)	C19H24U	257.0	30.0	B2000169	1997MAR0B	Review
U(Cp)3(OBu)	C19H24OU	-191.0	22.0	B2000170	1997MAR0B	Review
Ti(Bz)4	C28H28Ti	467.0	12.0	B2000209	1997MAR0B	Review # The enthalpy of formation relies on -1579.0±3.9 kJ/mol for the enthalpy of formation of Ti(O-i-Pr)4(l)
Ti(OPr)4	C12H28O4Ti	-1488.4	9.2	B2000211	1997MAR0B	Review # The enthalpy of formation relies on -1461.2±3.1 kJ/mol for the enthalpy of formation of Ti(OEt)4(l)
Ti(O-i-Pr)4	C12H28O4Ti	-1507.9	9.3	B2000212	1997MAR0B	Review # Selected data. The enthalpy of formation relies on -1461.2±3.1 kJ/mol for the enthalpy of formation of Ti(OEt)4(l)
Ti(O-s-Bu)4	C16H36O4Ti	-1600.4	9.5	B2000214	1997MAR0B	Review # The enthalpy of formation relies on -1461.2±3.1 kJ/mol for the enthalpy of formation of Ti(OEt)4(l)
Ti(O-i-Bu)4	C16H36O4Ti	-1596.4	9.6	B2000215	1997MAR0B	Review # The enthalpy of formation relies on -1461.2±3.1 kJ/mol for the enthalpy of formation of Ti(OEt)4(l)
Ti(O-t-Bu)4	C16H36O4Ti	-1655.4	5.7	B2000216	1997MAR0B	Review # The enthalpy of formation relies on -1461.2±3.1 kJ/mol for the enthalpy of formation of Ti(OEt)4(l)
Ti(OPe)4	C20H44O4Ti	-1662.2	9.2	B2000217	1997MAR0B	Review # The enthalpy of formation relies on -1461.2±3.1 kJ/mol for the enthalpy of formation of Ti(OEt)4(l)
Ti(O-neo-Pe)4	C20H44O4Ti	-1824.0	67.0	B2000218	1997MAR0B	Review # The enthalpy of formation relies on -1461.2±3.1 kJ/mol for the enthalpy of formation of Ti(OEt)4(l). The large uncertainty is due to the uncertainty assigned to the enthalpy of formation of neo-pentyl alcohol 1994PED0B
Ti(Cp)2(Ph)2	C22H20Ti	155.0	16.0	B2000224	1997MAR0B	Review
Ti(Cp)2(3-Tol)2	C24H24Ti	262.0	13.0	B2000225	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Ti(Cp)2(4-Tol)2	C24H24Ti	265.0	13.0	B2000226	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Ti(Cp)2(4-CF3C6H4)2	C24H18F3Ti	-1033.0	12.0	B2000227	1997MAR0B	Review # The enthalpy of formation relies on -383.6±7.7 kJ/mol for the enthalpy of formation of Ti(Cp)2(Cl)2(cr)
Ti(Cp)2(Bz)2	C24H24Ti	279.0	10.0	B2000228	1997MAR0B	Review
